Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
38	0	unknown	chr1	899223	899642	-0.569	0.426311842116065	0.862	-0.226	393	0.60796242237526	0.999890601729745	gain	20.042	23.97	20.555	22.313	-4.462	0.422	1
39	0	unknown	chr1	899698	899938	1.187	2.76368734286131	1.118	1.45	69	NA	NA	gain	11.233	5.653	11.29	4.899	-1.717	2.82	1
40	0	unknown	chr1	900336	900576	0.172	1.15533786364939	0.704	0.278	240	0.160972464864853	0.999890601729745	gain	24.597	20.292	25.346	18.817	-3.392	1.248	1
41	0	unknown	chr1	901832	902252	-1.431	-0.0336083625054699	0.979	-1.609	316	NA	NA	loss	6.785	15.905	6.611	14.646	-3.017	1.553	1
42	0	unknown	chr1	905609	906863	-1.472	-0.278098698966624	1.312	-1.081	584	NA	NA	loss	11.347	20.382	11.409	18.902	-5.115	0.326	1
43	0	unknown	chr1	907371	907611	-0.74	0.59567199672233	0.812	-0.623	219	NA	NA	gain	9.807	15.312	9.79	14.082	-2.535	0.657	1
44	0	unknown	chr1	907615	907855	-2.63	-0.93048286558538	0.771	-2.33	40	NA	NA	loss	2.116	11.676	1.7	10.625	-4.462	-1.717	1
46	0	unknown	chr1	908515	908755	0.501	1.86291345661055	0.432	0.657	47	NA	NA	gain	14.134	9.922	14.34	8.957	-0.14	0.999	1
47	0	unknown	chr1	908829	909069	-0.982	-0.326409128309401	0.433	-1.144	240	0.607929911256788	0.999890601729745	loss	26.795	50.239	27.658	47.288	-1.792	-0.012	2
48	0	unknown	chr1	909201	909441	-1.433	0.028689348277422	0.948	-1.006	114	NA	NA	gain	6.263	14.146	6.061	12.974	-3.288	-0.26	1
49	0	unknown	chr1	909599	910007	-0.844	0.0302453914309667	0.764	-0.655	357	0.96832279751689	0.999890601729745	gain	20.99	32.739	21.552	30.65	-2.851	0.518	1
50	0	unknown	chr1	934542	935418	-0.145	0.926319331059448	0.652	-0.26	215	NA	NA	gain	19.09	19.741	19.553	18.293	-1.59	1.349	1
51	0	unknown	chr1	948834	949074	-1.39	-0.593128270960473	0.447	-1.512	240	0.408267765866924	0.999890601729745	loss	16.971	44.064	17.325	41.417	-2.461	-0.472	2
52	0	unknown	chr1	949310	949910	-1.161	-0.224304008191734	0.507	-1.211	586	0.778493112813666	0.999890601729745	loss	15.689	32.786	15.976	30.695	-2.22	0.075	1
54	0	unknown	chr1	957530	957890	-0.279	0.367722274970608	0.439	-0.199	343	0.560148382265613	0.999890601729745	gain	35.649	42.519	36.971	39.948	-1.28	0.797	2
55	0	unknown	chr1	970559	970799	0.499	1.23018525590011	0.393	0.495	222	0.0702647258192324	0.999890601729745	gain	40.652	27.36	42.234	25.536	-0.231	1.485	2
58	0	unknown	chr1	976849	977089	-0.16	1.11025420968862	0.964	-0.231	169	NA	NA	gain	13.157	14.821	13.314	13.615	-2.45	2.073	1
59	0	unknown	chr1	977318	977558	-3.315	-1.56947173430502	1.194	-2.198	23	NA	NA	loss	1.492	11.293	1.043	10.261	-4.593	-2.198	1
60	0	unknown	chr1	978607	978847	-0.229	0.864814495279766	0.515	-0.277	171	NA	NA	gain	17.413	20.005	17.789	18.544	-1.232	0.677	1
62	0	unknown	chr1	979182	979422	-2.389	-0.91444838209764	0.543	-2.392	204	NA	NA	loss	3.394	16.587	3.044	15.294	-3.488	-1.2	1
63	0	unknown	chr1	979442	979885	-1.007	0.236520778129995	0.754	-0.903	443	NA	NA	gain	10.396	18.842	10.409	17.438	-3.288	0.263	1
64	0	unknown	chr1	980478	980940	-0.495	0.757596619399325	0.717	-0.413	169	NA	NA	gain	13.124	15.68	13.278	14.432	-1.969	0.632	1
65	0	unknown	chr1	981063	981711	-0.743	0.218835224045948	0.71	-0.753	638	0.787504572441049	0.999890601729745	gain	17.857	28.651	18.257	26.763	-3.392	0.659	1
66	0	unknown	chr1	981765	982125	-2.289	-0.801493790874077	1.931	-1.887	280	NA	NA	loss	5.145	14.414	4.886	13.229	-5.28	0.422	1
67	0	unknown	chr1	982147	982387	-0.603	0.536335695770498	0.445	-0.639	235	NA	NA	gain	13.571	21.143	13.749	19.626	-1.475	0.38	1
68	0	unknown	chr1	982649	983334	-1.074	-0.0359031999011126	0.986	-0.877	568	NA	NA	loss	15.927	25.089	16.227	23.377	-4.825	0.451	1
71	0	unknown	chr1	984602	984842	-0.406	0.928007233853906	0.87	-0.746	141	NA	NA	gain	10.708	14.48	10.738	13.291	-1.724	1.533	1
72	0	unknown	chr1	984939	985179	-1.518	-0.0946798491280583	0.979	-1.823	119	NA	NA	loss	6.1	15.641	5.891	14.395	-3.578	0.167	1
73	0	unknown	chr1	985229	985469	-1.509	0.126197847626811	0.588	-1.069	16	NA	NA	gain	4.184	11.15	3.875	10.125	-2.33	-1.069	1
74	0	unknown	chr1	985540	986008	-0.986	0.387270630141091	0.82	-1.106	329	NA	NA	gain	7.981	15.629	7.869	14.383	-2.761	0.917	1
75	0	unknown	chr1	986040	986280	-2.57	-0.97221285795471	0.737	-2.561	75	NA	NA	loss	2.528	13.781	2.133	12.627	-3.578	-1.357	1
76	0	unknown	chr1	986570	987270	-0.586	0.279019945296946	0.786	-0.402	390	0.712192529560831	0.999890601729745	gain	23.729	30.823	24.433	28.828	-2.925	0.653	1
77	0	unknown	chr1	989124	989364	-1.757	-0.139778395998086	0.997	-1.488	74	NA	NA	loss	4.123	11.672	3.811	10.622	-4.462	-0.829	1
78	0	unknown	chr1	989758	989998	0.472	1.81489031075381	1.606	-0.139	190	NA	NA	gain	12.929	11.893	13.074	10.832	-1.479	3.505	1
80	0	unknown	chr1	1018199	1018439	-0.154	1.241229028869	0.576	-0.283	93	NA	NA	gain	11.142	11.629	11.194	10.581	-1.2	0.657	1
81	0	unknown	chr1	1019288	1019992	-1.071	-0.283589582572889	0.817	-1.014	627	0.69033743369306	0.999890601729745	loss	21.046	40.948	21.611	38.455	-3.279	0.649	2
82	0	unknown	chr1	1021204	1021444	-0.415	0.400930548153565	0.52	-0.321	227	0.581913235232846	0.999890601729745	gain	26.852	32.296	27.718	30.229	-1.528	0.422	2
83	0	unknown	chr1	1022417	1022657	-0.647	0.281760718566613	0.748	-0.339	221	0.722317394310006	0.999890601729745	gain	21.089	28.024	21.656	26.167	-2.561	0.595	1
84	0	unknown	chr1	1102236	1103376	-0.885	0.629470315654568	1.358	-0.754	635	NA	NA	gain	7.321	11.388	7.175	10.351	-4.462	2.689	1
85	0	unknown	chr1	1104125	1104725	-0.573	0.543350340267114	0.652	-0.307	277	NA	NA	gain	15.406	20.648	15.679	19.155	-1.864	0.418	1
86	0	unknown	chr1	1718702	1718942	-0.22	0.445679392388439	0.45	-0.078	240	0.487568917266797	0.999890601729745	gain	33.953	41.811	35.188	39.275	-1.257	0.897	2
87	0	unknown	chr1	1720479	1720719	-0.8	-0.439851360979543	0.256	-0.752	240	0.388661728857537	0.999890601729745	loss	46.114	79.231	47.979	74.85	-1.367	-0.341	2
88	0	unknown	chr1	1721813	1722053	-0.866	-0.447300954609791	0.592	-0.787	240	0.386272434780022	0.999890601729745	loss	43.615	70.202	45.35	66.267	-2.061	-0.002	2
89	0	unknown	chr1	1724596	1724836	-0.699	-0.13774933727846	0.593	-0.735	240	0.812947031589739	0.999890601729745	loss	36.722	53.268	38.1	50.167	-2.561	0.186	2
90	0	unknown	chr1	1735818	1736058	-1.288	-0.910006644799403	0.313	-1.294	240	0.07555546581133	0.999890601729745	loss	36.504	85.209	37.871	80.533	-2.053	-0.675	2
91	0	unknown	chr1	1737824	1738064	-0.359	-0.182075602822063	0.367	-0.411	240	0.710964219643831	0.999890601729745	loss	76.727	92.795	80.179	87.746	-1.074	0.394	3
92	0	unknown	chr1	1747127	1747367	-1.302	-0.890066796494003	0.345	-1.326	240	0.0842858320547419	0.999890601729745	loss	33.193	81.9	34.388	77.388	-2.018	-0.393	2
93	0	unknown	chr1	1749174	1749414	-0.241	0.0906431696601621	0.402	-0.176	240	0.858191324028317	0.999890601729745	gain	61.924	69.449	64.608	65.55	-1.508	0.5	2
94	0	unknown	chr1	1756743	1756983	-0.338	-0.447099359498066	0.164	-0.326	240	0.345168563079077	0.999890601729745	loss	120.262	151.326	125.971	143.392	-0.748	0.012	3
95	0	unknown	chr1	1846612	1846852	-1.436	-0.462558418496434	0.905	-1.106	240	0.571986644709113	0.999890601729745	loss	13.62	32.007	13.8	29.954	-3.122	-0.19	1
96	0	unknown	chr1	1847028	1847268	-1.303	-0.455804576899249	1.129	-0.589	240	0.54125978642795	0.999890601729745	loss	19.823	36.355	20.325	34.087	-3.536	-0.143	1
97	0	unknown	chr1	1847846	1848086	-0.982	-0.196339342961129	0.39	-0.99	240	0.782383593050678	0.999890601729745	loss	21.431	40.742	22.017	38.258	-1.915	-0.143	2
98	0	unknown	chr1	1848142	1848715	-0.499	0.465332695076153	0.685	-0.439	487	0.567207581730657	0.999890601729745	gain	19.948	26.369	20.456	24.593	-2.104	0.818	1
99	0	unknown	chr1	1849280	1849640	-1.094	-0.537438375206888	0.761	-0.944	360	0.353669098265467	0.999890601729745	loss	32.027	58.661	33.161	55.294	-3.77	-0.049	2
100	0	unknown	chr1	1849660	1849900	-0.877	0.330850911334829	0.654	-0.82	188	NA	NA	gain	11.575	19.433	11.649	18	-2.183	0.149	1
102	0	unknown	chr1	1853655	1853895	-0.847	-0.0171729730295076	0.438	-0.685	240	0.981388544978467	0.999890601729745	loss	20.714	37.095	21.262	34.792	-2.111	-0.193	2
103	0	unknown	chr1	1853974	1854214	-0.74	0.49574560403886	1.049	-0.27	200	NA	NA	gain	12.617	16.998	12.745	15.685	-2.851	0.348	1
104	0	unknown	chr1	1854383	1854623	-0.862	0.154541515751019	0.423	-0.784	240	0.854581333970751	0.999890601729745	gain	15.501	26.998	15.779	25.192	-1.886	-0.014	1
105	0	unknown	chr1	1854751	1854991	-1.553	-0.134157442870706	0.806	-1.196	182	NA	NA	loss	6.11	15.792	5.901	14.538	-3.578	-0.605	1
106	0	unknown	chr1	1855170	1855410	-0.938	-0.235849674639355	0.316	-0.963	240	0.722016152146138	0.999890601729745	loss	24.608	46.737	25.358	43.958	-1.588	-0.244	2
107	0	unknown	chr1	1855773	1856013	-1.77	-0.39068456325621	1.358	-1.659	114	NA	NA	loss	6.379	16.997	6.184	15.684	-3.961	0.806	1
108	0	unknown	chr1	1857151	1857391	-0.913	-0.237712923833242	0.59	-0.839	240	0.713539699697955	0.999890601729745	loss	27.021	47.553	27.896	44.733	-2.305	0.016	2
109	0	unknown	chr1	1886972	1887332	-0.393	0.282506840089484	0.527	-0.371	360	0.662693170207487	0.999890601729745	gain	32.718	41.829	33.889	39.292	-1.366	0.744	2
110	0	unknown	chr1	1888020	1888260	-0.942	-0.252993070792271	0.435	-0.775	240	0.69948638042788	0.999890601729745	loss	24.969	47.938	25.738	45.1	-2.074	-0.203	2
111	0	unknown	chr1	1890482	1890662	0.201	0.514817567459191	0.269	0.157	180	0.3084380998417	0.999890601729745	gain	71.766	63.523	74.961	59.917	-0.3	0.721	2
112	0	unknown	chr1	1891315	1891555	-0.148	1.03030460907678	0.679	-0.328	220	NA	NA	gain	15.417	17.138	15.691	15.818	-1.363	1.139	1
113	0	unknown	chr1	1895126	1895366	-0.562	-0.369652213555668	0.432	-0.571	240	0.45331992019999	0.999890601729745	loss	67.442	97.826	70.412	92.529	-1.631	0.245	3
114	0	unknown	chr1	1896292	1896532	-0.907	0.515511184563684	0.445	-0.91	145	NA	NA	gain	7.581	14.189	7.448	13.014	-1.887	0.167	1
115	0	unknown	chr1	1897766	1898006	-0.221	0.748979949974827	0.406	-0.331	240	0.358992521461103	0.999890601729745	gain	20.766	25.122	21.317	23.408	-1.331	0.576	1
116	0	unknown	chr1	1900052	1900292	-0.764	-0.58083602595615	0.535	-0.649	240	0.237771387185689	0.999890601729745	loss	61.551	106.237	64.217	100.525	-1.859	0.012	3
117	0	unknown	chr1	1902055	1902295	-0.657	0.726352883239167	1.615	-0.089	102	NA	NA	gain	10.883	12.338	10.922	11.255	-4.462	1.206	1
118	0	unknown	chr1	1903349	1903529	-2.743	-1.51888430662697	1.237	-2.235	180	NA	NA	loss	5.227	24.961	4.972	23.256	-5.429	-1.232	1
119	0	unknown	chr1	1904310	1904550	-0.525	0.215600401878877	0.376	-0.434	240	0.752949627857694	0.999890601729745	gain	27.393	39.572	28.288	37.146	-1.659	0.112	2
120	0	unknown	chr1	1905429	1905669	-2.366	-0.829364040879378	1.893	-1.752	134	NA	NA	loss	4.743	13.295	4.463	12.164	-5.115	0.479	1
121	0	unknown	chr1	1916756	1916996	-1.227	-0.133007070807135	0.492	-1.273	162	NA	NA	loss	11.955	25.452	12.049	23.722	-2.104	-0.143	1
122	0	unknown	chr1	1918304	1918544	-1.192	0.230371816537815	0.989	-1.081	175	NA	NA	gain	7.715	14.06	7.589	12.891	-3.177	0.091	1
123	0	unknown	chr1	1919901	1920141	-0.473	-0.245265928489652	0.262	-0.452	240	0.621375939874783	0.999890601729745	loss	65.22	90.687	68.075	85.742	-1.046	0.03	3
124	0	unknown	chr1	1920318	1920498	-0.044	0.41869938544221	0.43	0.059	180	0.425700579866456	0.999890601729745	gain	54.506	51.351	56.806	48.344	-1.647	0.421	2
125	0	unknown	chr1	1922241	1922481	-0.316	-0.222684081213188	0.595	-0.385	240	0.644582865837989	0.999890601729745	loss	92.081	102.481	96.329	96.954	-1.381	0.632	3
127	0	unknown	chr1	1956316	1956556	-0.271	0.632884440047387	0.567	-0.285	192	0.416313964667057	0.999890601729745	gain	24.273	26.895	25.005	25.094	-1.848	0.876	1
128	0	unknown	chr1	1956685	1956925	-1.371	-0.0493232144834737	1.36	-1.181	240	NA	NA	loss	9.064	16.641	9.008	15.346	-3.578	0.677	1
129	0	unknown	chr1	1956946	1957186	-0.669	0.529817652874932	0.888	-0.574	233	NA	NA	gain	13.01	18.463	13.159	17.077	-2.925	0.597	1
130	0	unknown	chr1	1958936	1959176	-1.364	-0.337626146331147	0.79	-1.167	240	0.690819557532427	0.999890601729745	loss	12.942	28.874	13.088	26.975	-2.881	-0.14	1
131	0	unknown	chr1	1959541	1959781	-1.454	-0.113233050755191	1.216	-1.565	210	NA	NA	loss	7.549	17.36	7.414	16.029	-4.825	-0.019	1
132	0	unknown	chr1	1960506	1960746	-0.713	0.540988784076228	1.468	-0.355	228	NA	NA	gain	12.834	15.904	12.974	14.645	-4.593	1.159	1
133	0	unknown	chr1	1960974	1961214	-0.899	-0.246701088579837	0.432	-0.881	240	0.697347100056937	0.999890601729745	loss	28.296	49.157	29.238	46.258	-1.726	-0.117	2
134	0	unknown	chr1	1961390	1961750	-1.348	-0.0917686100950654	0.519	-1.432	287	NA	NA	loss	8	20.632	7.889	19.139	-2.639	0.167	1
136	0	unknown	chr1	1986819	1987059	-0.519	0.215146013467074	0.441	-0.511	240	0.752157811434944	0.999890601729745	gain	27.706	39.975	28.617	37.529	-1.544	0.608	2
137	0	unknown	chr1	1987846	1988086	-1.146	-0.0890898256290287	0.603	-1.307	231	NA	NA	loss	13.378	26.386	13.545	24.61	-2.458	0.187	1
138	0	unknown	chr1	1990884	1991124	-0.701	-0.37994423139727	0.389	-0.577	240	0.452913878217184	0.999890601729745	loss	52.219	81.466	54.4	76.975	-1.967	-0.145	2
139	0	unknown	chr1	2066622	2066862	-0.502	-0.0125963317032227	0.303	-0.502	240	0.981422155788371	0.999890601729745	loss	41.594	59.706	43.225	56.288	-1.2	0.029	2
140	0	unknown	chr1	2075625	2075865	-0.939	0.338564635983275	1.214	-0.661	190	NA	NA	gain	11.338	16.305	11.4	15.026	-4.593	0.283	1
141	0	unknown	chr1	2077385	2077625	-0.088	0.35284225167581	0.203	-0.082	240	0.496234082470897	0.999890601729745	gain	53.526	56.213	55.775	52.967	-0.737	0.362	2
142	0	unknown	chr1	2080216	2080456	-0.565	-0.269392416217148	0.459	-0.417	240	0.592686149019073	0.999890601729745	loss	57.059	82.351	59.492	77.817	-1.517	0.148	2
143	0	unknown	chr1	2082202	2082442	-0.217	0.125089490784906	0.383	-0.046	240	0.805639132793585	0.999890601729745	gain	61.203	67.928	63.85	64.104	-1.303	0.279	2
144	0	unknown	chr1	2087361	2087601	-0.135	0.00383724794888374	0.366	-0.093	240	0.993718714216538	0.999890601729745	gain	86.559	93.943	90.521	88.838	-0.896	0.72	3
146	0	unknown	chr1	2103440	2103902	-0.689	0.148581885116871	0.534	-0.641	454	0.840992014672964	0.999890601729745	gain	23.034	34.041	23.703	31.888	-2.28	0.368	2
147	0	unknown	chr1	2105274	2105514	-0.324	0.353741550181813	0.343	-0.391	240	0.585679538374521	0.999890601729745	gain	34.123	40.15	35.367	37.696	-1.123	0.423	2
148	0	unknown	chr1	2106111	2106351	-0.421	-0.110292076174243	0.232	-0.387	240	0.827165663407629	0.999890601729745	loss	58.87	77.114	61.396	72.838	-1.016	0.134	2
149	0	unknown	chr1	2106586	2106826	-0.106	0.819642480394227	0.729	0.203	226	0.300160495311746	0.999890601729745	gain	25.172	24.194	25.951	22.527	-1.864	0.813	1
150	0	unknown	chr1	2115958	2116198	-0.841	-0.299755348340276	0.674	-0.703	240	0.599394641363132	0.999890601729745	loss	35.233	57.773	36.533	54.45	-3.337	0.214	2
151	0	unknown	chr1	2116283	2116523	-0.363	0.0277106949583232	0.337	-0.336	240	0.956954482018919	0.999890601729745	gain	53.851	65.338	56.117	61.642	-1.393	0.194	2
152	0	unknown	chr1	2121063	2121303	-1.623	-0.121749015532175	0.366	-1.609	183	NA	NA	loss	4.838	14.283	4.563	13.104	-2.45	-0.754	1
153	0	unknown	chr1	2125032	2125623	-1.002	0.0315272465466852	0.809	-0.93	536	NA	NA	gain	14.53	26.796	14.757	25	-4.714	0.599	1
155	0	unknown	chr1	2160424	2161204	-1.364	-0.0765639714154518	0.978	-1.211	704	NA	NA	loss	8.786	18.411	8.716	17.028	-4.825	0.26	1
156	0	unknown	chr1	2234358	2234598	-0.211	0.442546026342546	0.173	-0.204	240	0.485895410182658	0.999890601729745	gain	36.088	41.206	37.433	38.7	-0.682	0.164	2
157	0	unknown	chr1	2234660	2234900	-0.568	0.0692242654759402	1.007	-0.267	240	0.91190658990024	0.999890601729745	gain	37.883	41.518	39.321	38.996	-3.48	0.739	2
158	0	unknown	chr1	2235229	2235589	0.097	1.36409552024235	0.921	0.14	323	NA	NA	gain	14.722	13.402	14.96	12.266	-1.848	2.485	1
159	0	unknown	chr1	2235785	2236025	-0.69	0.579950608005545	0.626	-0.846	167	NA	NA	gain	10.417	17.575	10.431	16.234	-1.795	0.599	1
160	0	unknown	chr1	2237453	2237693	-0.409	0.53596479713801	0.365	-0.458	239	0.504043225035008	0.999890601729745	gain	20.556	27.263	21.096	25.444	-0.989	0.902	1
163	0	unknown	chr1	2255438	2255678	-1.413	0.212539106891642	0.512	-1.069	31	NA	NA	gain	4.426	11.154	4.129	10.129	-2.198	-1.069	1
164	0	unknown	chr1	2267826	2268066	-2.605	-1.13847423067675	0.594	-2.37	164	NA	NA	loss	3.033	17.214	2.665	15.89	-3.892	-1.565	1
165	0	unknown	chr1	2268101	2268341	-1.833	-0.55930885742113	0.341	-1.815	240	NA	NA	loss	6.331	21.489	6.133	19.954	-2.392	-0.783	1
166	0	unknown	chr1	2288833	2289073	-1.302	0.146482718040911	1.082	-0.91	175	NA	NA	gain	6.997	13.861	6.834	12.703	-4.462	0.298	1
167	0	unknown	chr1	2289971	2290211	-0.819	-0.355950800824467	0.924	-0.608	240	0.498448052838697	0.999890601729745	loss	47.085	58.711	49	55.342	-3.578	0.262	2
168	0	unknown	chr1	2303854	2304094	-0.408	-0.149437625758097	0.402	-0.378	240	0.764929072743391	0.999890601729745	loss	66.206	81.979	69.112	77.463	-1.598	0.211	3
169	0	unknown	chr1	2305827	2306067	-0.543	0.639307086174503	0.385	-0.475	163	NA	NA	gain	13.017	19.324	13.166	17.896	-1.847	0.149	1
170	0	unknown	chr1	2316339	2316579	-1.09	0.307418384583098	1.271	-0.626	125	NA	NA	gain	8.927	13.762	8.864	12.608	-3.177	0.465	1
171	0	unknown	chr1	2317170	2317410	-0.377	-0.0319613373839889	0.29	-0.357	240	0.949900634279636	0.999890601729745	loss	55.59	72.915	57.946	68.846	-0.889	0.489	2
172	0	unknown	chr1	2318792	2319032	-0.701	0.011384078572176	0.751	-0.553	240	0.986419426566588	0.999890601729745	gain	28.249	41.903	29.188	39.362	-2.741	0.223	2
173	0	unknown	chr1	2319606	2319846	-0.411	-0.196541229735191	0.297	-0.376	240	0.691458682210735	0.999890601729745	loss	69.886	89.469	72.983	84.583	-1.192	0.092	3
174	0	unknown	chr1	2321278	2321518	-0.056	-0.039128147775775	0.333	-0.042	240	0.934327734064963	0.999890601729745	loss	110.735	109.945	115.95	104.05	-0.726	0.449	3
175	0	unknown	chr1	2322813	2323053	-1.199	0.400837218842246	1.549	0.006	23	NA	NA	gain	6.287	9.967	6.087	9	-2.925	0.167	1
176	0	unknown	chr1	2327149	2327389	0.108	-0.061837389633805	0.288	0.125	240	0.896121025404063	0.999890601729745	loss	154.951	145.225	162.458	137.592	-0.527	0.786	3
177	0	unknown	chr1	2328486	2328726	-0.873	-0.790789145341094	0.482	-0.722	240	0.100579221185299	0.999890601729745	loss	73.954	124.201	77.263	117.604	-2.061	-0.227	3
